#Category,#SEP Event Date,Event Period Start Time for Continuous Forecast Models (24 hours prior to start),Event Period End Time for Continuous Forecast Models (to peak - can go past if makes sense for your model),"Alternative Event for 2D/3D models (forecasts at GOES, SOHO, and STEREO locations)","Exceeds >10 MeV, 10 pfu",>10 MeV Peak Time,"Exceeds >100 MeV, 1 pfu",>100 MeV Peak Time,"Exceeds >30 MeV, 1 pfu",>30 MeV Peak Time,"Exceeds >50 MeV, 1 pfu",>50 MeV Peak Time,Flare Onset Time,Flare Peak Time,Flare End Time,Flare Class,Flare Magnitude,Integrated X-ray Flux with time,Flare Lat,Flare Lon,AR,Timestamp of last SOHO image used in CME analysis,Timestamp of last STEREO image used in CME analysis,CME Time at 21 Rsun,CME Lat (DONKI),CME Lon (DONKI),CME 3D HA (DONKI),CME 3D Velocity (DONKI),Source/Observer,Time of CME Measurement,CME LASCO C2 First Look Time,CME Plane of Sky Velocity,CDAW 2D CME Width,CACTus t0,CACTus CME V median (qkl),CACTus CME Vmax (qkl),CACTCus 2D CME Width,Primary GOES Spacecraft,Flare DONKI Link,CME DONKI Link,SEP DONKI Link,WSA ENLIL DONKI Link,
#,#Original SHINE Challenge Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHINE,2017/9/10,2017/9/9 16:45,2017/9/10 22:50,TRUE,2017/9/10 16:45,2017/9/10 22:50,2017/9/10 16:25,2017/9/10 21:05,2017/9/10 16:25,2017/9/10 22:10,2017/9/10 16:25,2017/9/10 22:05,2017/9/10 15:35,2017/9/10 16:06,2017/9/10 16:31,X8.2,8.20E-04,1.40E+00,-8,88,12673,2017/9/10 17:18,2017/9/10 16:54,2017/9/10 17:26,-5,68,58,2314,M2M/Chris,Refit for SEPVAL 2023,2017/9/10 16:00,3163,360,2017/9/10 16:48,948,2013,360,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/13098/4,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/13101/1,,
#,#New events in Solar Cycle 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC25,2021/5/29,2021/5/28 3:00,2021/5/29 3:20,FALSE,2021/5/29 3:00,2021/5/29 3:20,none,none,2021/5/29 0:55,2021/5/29 1:20,none,none,2021/5/28 22:19,2021/5/28 23:13,2021/5/29 0:12,C9.4,9.40E-06,4.20E-02,19,68,12824,2021/5/29 0:54,2021/5/29 0:53,2021/5/29 2:54,-5,59,44,949,M2M/Carina,Refit for SEPVAL 2023,2021/5/28 23:12,971,197,2021/5/28 23:12,880,1954,112,GOES-16,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17006/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/17008/4,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/17004/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/17012/1,
SC25,2021/10/28,2021/10/27 17:40,2021/10/28 23:20,FALSE,2021/10/28 17:40,2021/10/28 23:20,2021/10/28 16:35,2021/10/28 18:15,2021/10/28 16:30,2021/10/28 20:05,2021/10/28 16:30,2021/10/28 19:30,2021/10/28 15:17,2021/10/28 15:35,2021/10/28 15:48,X1.0,1.00E-04,9.10E-02,-26,4,12887,2021/10/28 17:30,2021/10/28 16:53,2021/10/28 18:52,-17,0,49,1109,DONKI/Anna Chulaki,2022/9/22 0:55,2021/10/28 15:48,1519,360,2021/10/28 16:00,1077,2016,340,GOES-16,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18096/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/18106/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/18101/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/18114/1,
SC25,2022/1/20,2022/1/19 8:00,2022/1/20 10:15,FALSE,2022/1/20 8:00,2022/1/20 10:15,2022/1/20 7:45,2022/1/20 8:50,2022/1/20 6:50,2022/1/20 9:15,2022/1/20 7:05,2022/1/20 8:50,2022/1/20 5:41,2022/1/20 6:01,2022/1/20 6:12,M5.5,5.50E-05,4.30E-02,8,76,12929,2022/1/20 7:30,2022/1/20 7:23,2022/1/20 8:27,1,97,44,1426,DONKI/Carina Alden,2022/1/20 16:03,2022/1/20 6:12,1431,211,2022/1/20 6:12,749,1953,110,GOES-16,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18897/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/18907/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/18901/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/18916/1,
SC25,2022/3/28,2022/3/27 13:25,2022/3/28 14:50,FALSE,2022/3/28 13:25,2022/3/28 14:50,2022/3/28 12:45,2022/3/28 13:25,2022/3/28 12:20,2022/3/28 13:35,2022/3/28 12:20,2022/3/28 13:45,2022/3/28 10:58,2022/3/28 11:29,2022/3/28 11:45,M4.0,4.00E-05,4.40E-02,12,1,12975,2022/3/28 13:36,2022/3/28 13:53,2022/3/28 17:19,7,12,45,662,DONKI/Anna Chulaki,2022/10/10 19:12,2022/3/28 12:00,702,360,2022/3/28 12:00,347,473,150,GOES-16,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19549/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/19556/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/19553/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/19576/1,
SC25,2022/4/2,2022/4/1 14:40,2022/4/2 16:00,FALSE,2022/4/2 14:40,2022/4/2 16:00,none,none,2022/4/2 14:00,2022/4/2 15:15,2022/4/2 14:00,2022/4/2 15:20,2022/4/2 12:56,2022/4/2 13:55,2022/4/2 14:44,M3.9,3.90E-05,1.40E-01,15,61,12976,2022/4/2 15:06,2022/4/2 14:38,2022/4/2 16:12,-15,54,45,1370,DONKI/Carina Alden,2022/4/2 16:53,2022/4/2 13:36,1433,360,2022/4/2 13:36,844,1488,104,GOES-16,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19635/5,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/19636/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/19633/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/19643/1,
SC25,2022/8/27,2022/8/26 11:55,2022/8/27 12:20,FALSE,2022/8/27 11:55,2022/8/27 12:20,none,none,2022/8/27 13:40,2022/8/27 13:50,none,none,2022/8/27 1:52,2022/8/27 2:40,2022/8/27 3:05,M4.8,4.80E-05,1.30E-01,-30,62,13088,2022/8/27 3:42,2022/8/27 3:38,2022/8/27 4:57,-13,56,40,1372,DONKI/Robert Loper,2022/8/27 12:50,2022/8/27 2:24,1284,360,2022/8/27 2:24,1025,1953,274,GOES-16,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21370/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/21376/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/21373/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/21379/1,
SC25,2023/2/25,2023/2/24 21:10,2023/2/26 2:50,FALSE,2023/2/25 21:10,2023/2/26 2:50,none,none,2023/2/25 20:50,2023/2/25 22:10,2023/2/25 21:20,2023/2/25 22:05,2023/2/25 18:40,2023/2/25 19:44,2023/2/25 20:27,M6.3,6.30E-05,2.00E-01,25,42,13229,2023/2/25 22:06,2023/2/25 21:23,2023/2/25 23:23,10,48,58,920,DONKI/Chris Stubenrauch,2023/2/26 15:01,2023/2/25 19:24,1170,360,2023/2/25 20:00,919,1838,352,GOES-16,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/23931/4,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/23942/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/23940/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/23968/1,
#,#Added Events in Solar Cycle 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC24,2011/3/8,2011/3/7 1:05,2011/3/8 4:55,FALSE,2011/3/8 1:05,2011/3/8 4:55,none,none,2011/3/8 0:45,2011/3/8 4:25,none,none,2011/3/7 19:43,2011/3/7 20:12,2011/3/7 21:40,M3.7,3.70E-05,1.20E-01,30,48,11164,2011/3/7 20:54,2011/3/7 20:54,2011/3/7 21:40,17,50,45,1980,DONKI/Leila Mays,2011/3/7 20:00,2011/3/7 20:00,2125,360,2011/3/7 20:12,702,1644,230,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/682/1,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/691/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/6203/1,
SC24,2011/6/7,2011/6/6 8:20,2011/6/7 12:55,FALSE,2011/6/7 8:20,2011/6/7 12:55,2011/6/7 7:20,2011/6/7 10:20,2011/6/7 7:05,2011/6/7 10:25,2011/6/7 7:15,2011/6/7 10:25,2011/6/7 6:16,2011/6/7 6:41,2011/6/7 6:59,M2.5,2.50E-05,4.40E-02,-22,53,,2011/6/7 8:24,none,2011/6/7 9:02,-25,52,46,1400,DONKI/Rachel Morgan,2013/7/19 14:31,2011/6/7 6:49,1255,360,2011/6/7 10:20,795,1543,208,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/886/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/890/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/888/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/3003/1,
SC24,2011/8/4,2011/8/3 6:35,2011/8/4 8:50,FALSE,2011/8/4 6:35,2011/8/4 8:50,2011/8/4 5:10,2011/8/4 7:15,2011/8/4 4:55,2011/8/4 8:05,2011/8/4 4:55,2011/8/4 7:40,2011/8/4 3:41,2011/8/4 3:57,2011/8/4 4:04,M9.3,9.30E-05,5.40E-02,15,39,11261,2011/8/4 4:40,none,2011/8/4 5:45,14,40,60,1950,DONKI/Rachel Morgan,2013/7/15 14:18,2011/8/4 4:12,1315,360,2011/8/4 4:12,1322,2016,6,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/51/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/58/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/313/1,two results,
SC24,2011/8/9,2011/8/8 8:45,2011/8/9 9:50,FALSE,2011/8/9 8:45,2011/8/9 9:50,2011/8/9 8:25,2011/8/9 8:55,2011/8/9 8:25,2011/8/9 9:00,2011/8/9 8:25,2011/8/9 8:55,2011/8/9 7:48,2011/8/9 8:05,2011/8/9 8:08,X6.9,6.90E-04,1.90E-01,17,69,11263,2011/8/9 9:54,2011/8/9 9:54,2011/8/9 11:09,-12,62,20,1175,DONKI/Corey Koller,2013/8/9 13:20,2011/8/9 8:12,1610,360,2011/8/9 8:24,947,1562,126,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/101/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/2895/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/103/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/2894/1,
SC24,2012/1/23,2012/1/22 5:30,2012/1/24 15:30,FALSE,2012/1/23 5:30,2012/1/24 15:30,2012/1/23 4:45,2012/1/23 7:50,2012/1/23 4:45,2012/1/23 15:30,2012/1/23 4:45,2012/1/23 14:00,2012/1/23 3:38,2012/1/23 3:59,2012/1/23 4:34,M8.7,8.70E-05,2.00E-01,28,20,11402,2012/1/23 4:54,2012/1/23 4:54,2012/1/23 5:20,41,26,62,2211,DONKI/chiu wiegand,2017/11/14 20:36,2012/1/23 4:00,2175,360,2012/1/23 4:24,1178,1953,360,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/95/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/119/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/98/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/3983/1,
SC24,2012/1/27,2012/1/26 19:05,2012/1/28 1:45,FALSE,2012/1/27 19:05,2012/1/28 1:45,2012/1/27 19:00,2012/1/27 21:40,2012/1/27 18:55,2012/1/28 0:30,2012/1/27 19:00,2012/1/27 22:40,2012/1/27 17:37,2012/1/27 18:37,2012/1/27 18:56,X1.8,1.80E-04,3.20E-01,31,90,11402,2012/1/27 19:24,2012/1/27 19:39,2012/1/27 20:00,40,75,55,2200,DONKI/Leila Mays,2013/12/19 22:18,2012/1/27 18:27,2508,360,2012/1/27 18:48,867,1601,56,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/137/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/4010/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/1117/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/4009/1,
SC24,2012/3/13,2012/3/12 18:10,2012/3/13 20:45,FALSE,2012/3/13 18:10,2012/3/13 20:45,2012/3/13 18:10,2012/3/13 19:05,2012/3/13 18:05,2012/3/13 19:10,2012/3/13 18:05,2012/3/13 19:10,2012/3/13 16:21,2012/3/13 17:41,2012/3/13 18:25,M7.9,7.90E-05,2.40E-01,18,59,11429,2012/3/13 18:56,2012/3/13 18:54,2012/3/13 18:55,25,43,60,2250,DONKI/Anthony Pritchard,2013/8/5 20:30,2012/3/13 17:36,1884,360,2012/3/13 17:36,424,1041,30,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/416/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/422/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/418/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/1555/1,
SC24,2012/7/7,2012/7/6 4:00,2012/7/7 7:45,FALSE,2012/7/7 4:00,2012/7/7 7:45,none,none,2012/7/7 2:00,2012/7/7 5:50,2012/7/7 4:10,2012/7/7 4:30,2012/7/6 23:01,2012/7/6 23:08,2012/7/6 23:14,X1.1,1.10E-04,4.30E-02,-17,50,11515,none,2012/7/7 1:18,2012/7/7 2:35,-35,65,40,1200,DONKI/Megha Pandya,2013/7/19 13:43,2012/7/6 23:24,1828,360,2012/7/6 23:48,416,568,14,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/795/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/833/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/827/1,,
SC24,2012/7/23,2012/7/22 15:45,2012/7/23 13:45,FALSE,2012/7/23 15:45,2012/7/23 13:45,none,none,2012/7/23 9:35,2012/7/23 16:25,2012/7/23 10:55,2012/7/23 15:10,none,none,none,none,none,none,none,none,none,2012/7/23 3:30,2012/7/23 3:24,2012/7/23 4:00,7,130,54,2395,M2M/Carina,Refit for SEPVAL 2023,2012/7/23 2:36,2003,360,2012/7/23 2:36,1016,1644,118,GOES-13,none,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/944/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/932/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/5490/1,
SC24,2012/9/28,2012/9/27 3:00,2012/9/28 4:45,FALSE,2012/9/28 3:00,2012/9/28 4:45,none,none,2012/9/28 2:20,2012/9/28 4:45,none,none,2012/9/27 23:36,2012/9/27 23:57,2012/9/28 0:34,C3.7,3.70E-06,9.40E-03,9,26,11577,none,2012/9/28 1:24,2012/9/28 2:35,17,23,47,1252,M2M/Hannah,Refit for SEPVAL 2023,2012/9/28 0:12,947,360,2012/9/28 0:12,753,1136,268,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/6354/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/1014/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/1051/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/1442/1,
SC24,2013/5/22,2013/5/21 14:35,2013/5/23 4:05,FALSE,2013/5/22 14:35,2013/5/23 4:05,2013/5/22 14:35,2013/5/22 16:35,2013/5/22 14:25,2013/5/22 22:50,2013/5/22 14:30,2013/5/22 19:00,2013/5/22 12:30,2013/5/22 13:38,2013/5/22 17:10,M5.0,5.00E-05,1.40E-01,13,75,11745,2013/5/22 13:54,2013/5/22 13:54,2013/5/22 15:16,9,62,64,1756,M2M/Hannah,Refit for SEPVAL 2023,2013/5/22 13:25,1466,360,2013/5/22 14:00,1147,1953,360,GOES-15,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/292/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/306/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/297/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/2486/1,
SC24,2013/9/30,2013/9/29 5:05,2013/9/30 17:00,FALSE,2013/9/30 5:05,2013/9/30 17:00,none,none,2013/9/30 3:00,2013/9/30 10:00,2013/9/30 5:10,2013/9/30 7:15,2013/9/29 21:43,2013/9/29 23:39,2013/9/30 1:03,C1.2,1.20E-06,none,10,33,none,2013/9/29 23:42,2013/9/29 23:39,2013/9/30 1:00,26,38,70,1100,DONKI/Dhanesh Krishnarao,2013/9/30 17:37,2013/9/29 22:12,1179,360,2013/9/29 22:24,600,1895,360,GOES-13,none,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/3302/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/3305/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/3308/1,
