#Category,#Date,Event Period Start Time for Continuous Forecast Models (24 hours prior to flare),Event Period End Time for Continuous Forecast Models (~14 hours after flare),Response in 24 hours,Flare Onset Time,Flare Peak Time,Flare End Time,Flare Class,Flare Magnitude,Integrated X-ray Flux with time,Flare Lat,Flare Lon,Active Region,Timestamp of last SOHO CME image,Timestamp of last STEREO CME image,CME Time at 21.5Rsun,CME Lat (DONKI),CME Lon (DONKI),CME HA (DONKI),CME 3D Velocity (km/s) (DONKI),Source,Time of CME measurement,CME LASCO C2 First Look Time,CME Plane of Sky Velocity (km/s),CDAW 2D CME Width,CACTus t0,CACTus CME V median (qkl),CACTus CME Vmax (qkl),CACTus 2D CME Width,Flare DONKI Link,CME DONKI Link,WSA-ENLIL DONKI Link,Comments
#,#Original SHINE Non-events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC25,2022-08-17,2022-08-16 14:26:00,2022-08-18 0:00:00,no response in GOES; no EPHIN L3,2022-08-17 13:26:00,2022-08-17 13:45:00,2022-08-17 13:50:00,M2.0,2.00E-05,8.30E-03,-21,25,13078,2022-08-17 18:18:00,2022-08-17 17:23:00,2022-08-17 19:26:00,-26,18,49,767,DONKI/Chris Stubenrauch,2022-08-17 17:08:00,2022-08-17 14:36:34,901,360,none,none,none,none,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21238/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/21245/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/21251/1,
SC25,2022-08-18,2022-08-18 0:00:00,2022-08-18 21:00:00,no response in GOES; no EPHIN L3,2022-08-18 10:37:00,2022-08-18 10:55:00,2022-08-18 11:13:00,M1.5,1.50E-05,2.40E-02,-25,35,13078,2022-08-18 13:30:00,2022-08-18 12:23:00,2022-08-18 14:10:00,-30,17,35,1076,DONKI/Mary Aronne ,2022-08-18 14:24:00,2022-08-18 11:00:05,1327,360,2022-08-18 11:00:00,812,1201,96,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21259/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/21261/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/21264/1,
SC25,2022-08-19,2022-08-18 21:00:00,2022-08-19 18:14:00,no response in GOES; no EPHIN L3,2022-08-19 4:14:00,2022-08-19 4:44:00,2022-08-19 5:18:00,M1.6,1.60E-05,3.60E-02,-24,49,13078,2022-08-19 8:30:00,none,2022-08-19 8:58:00,-33,49,47,878,DONKI/Anna Chulaki,2022-08-21 15:31:00,2022-08-19 4:49:30,832,104,2022-08-19 5:00:00,785,898,92,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21276/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/21284/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/21307/1,
SC25,2022-08-29,2022-08-28 17:15:00,2022-08-30 0:00:00,small subevent in GOES up to 10 MeV,2022-08-29 16:15:00,2022-08-29 16:39:00,2022-08-29 17:51:00,M3.8,3.80E-05,none,-27,95,13088,2022-08-29 20:06:00,2022-08-29 19:23:00,2022-08-29 20:46:00,-18,97,30,949,DONKI/Robert Loper,2022-08-29 18:38:00,2022-08-29 17:00:05,1112,193,2022-08-29 16:48:00,664,1077,78,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21435/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/21436/2,Not modeled,
SC25,2022-08-30,2022-08-30 0:00:00,2022-08-31 8:05:00,small subevent in GOES up to 10 MeV,2022-08-30 18:05:00,2022-08-30 19:29:00,2022-08-30 21:23:00,M2.1,2.10E-05,1.90E-01,-24,99,13088,2022-08-30 20:18:00,2022-08-30 19:53:00,2022-08-30 20:56:00,1,120,32,1378,DONKI/Anna Chulaki,2022-09-02 10:34:00,2022-08-30 18:12:05,1247,360,2022-08-30 18:36:00,762,1302,50,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/21474/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/21471/5,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/21485/1,
SC25,2022-12-01,2022-11-30 8:04:00,2022-12-01 21:04:00,no response in GOES,2022-12-01 7:04:00,2022-12-01 7:21:00,2022-12-01 7:36:00,M1.0,1.00E-05,1.10E-02,27,35,13152,2022-12-01 10:06:00,2022-12-01 9:38:00,2022-12-01 10:22:00,27,17,30,1306,DONKI/Carina Alden,2022-12-01 10:24:00,2022-12-01 7:48:05,813,115,none,none,none,none,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/22593/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/22594/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/22597/1,
SC25,2023-03-04,2023-03-03 16:19:00,2023-03-05 4:00:00,no response in GOES,2023-03-04 15:19:00,2023-03-04 15:57:00,2023-03-04 16:26:00,M5.2,5.20E-05,1.40E-01,25,84,13234,2023-03-04 18:18:00,2023-03-04 18:23:00,2023-03-04 19:57:00,-2,85,45,894,DONKI/Chris Stubenrauch,2023-03-04 17:54:00,2023-03-04 15:36:06,933,360,2023-03-04 16:24:00,1250,2015,360,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/24083/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/24086/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/24091/1,
SC25,2023-03-06,2023-03-05 4:00:00,2023-03-06 16:08:00,no response in GOES,2023-03-06 2:08:00,2023-03-06 2:28:00,2023-03-06 2:35:00,M5.8,5.80E-05,4.40E-02,18,65,13243,2023-03-06 6:06:00,none,2023-03-06 6:27:00,-7,65,35,970,DONKI/Mattie Anastopulos,2023-03-06 13:52:00,2023-03-06 3:12:10,873,360,2023-03-06 3:24:00,1050,1953,346,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/24110/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/24114/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/24116/1,
#,#Added Non-events in Solar Cycle 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC24,2011-05-09,2011-05-08 21:42:00,2011-05-10 10:42:00,small impulsive increase GOES; clear impulsive increase SOHO up to 40.9 - 53 MeV,2011-05-09 20:42:00,2011-05-09 20:50:00,2011-05-09 20:59:00,C5.4,5.40E-06,8.40E-03,16,-88,,2011-05-09 23:18:00,none,2011-05-10 0:59:00,26,-91,58,776,M2M/Anna Chulaki,Refit for SEPVAL2023,2011-05-09 20:57:26,1318,292,2011-05-09 20:12:00,584,753,28,HINODE,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/839/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/3014/1,
SC24,2012-03-04,2012-03-03 11:29:00,2012-03-04 19:00:00,sub-event visible in GOES and SOHO with increases up to ~30 MeV,2012-03-04 10:29:00,2012-03-04 10:52:00,2012-03-04 12:16:00,M2.0,2.00E-05,9.20E-02,16,-65,,2012-03-04 12:18:00,2012-03-04 12:24:00,2012-03-04 13:22:00,25,-48,60,1540,DONKI/Leila Mays,2013-08-05 17:40:00,2012-03-04 11:00:07,1306,360,2012-03-04 11:00:00,806,1644,136,HINODE,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/155/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/1356/1,
SC24,2012-03-05,2012-03-04 19:00:00,2012-03-05 17:30:00,sub-event visible in GOES and SOHO with increases up to ~30 MeV; see the ~50 MeV and higher energies rise with this injection,2012-03-05 3:30:00,2012-03-05 4:05:00,2012-03-05 4:43:00,X1.1,1.10E-04,3.70E-01,19,-58,,2012-03-05 5:54:00,none,2012-03-05 6:23:00,22,-70,51,1363,DONKI/Megha Pandya,2013-07-15 16:31:00,2012-03-05 4:00:05,1531,360,2012-03-05 3:24:00,781,1602,244,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/172/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/180/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/2977/1,
SC24,2012-06-29,2012-06-12 12:29:00,2012-06-14 1:29:00,no response GOES; increase in lowest EPHIN energy channel,2012-06-29 9:13:00,2012-06-29 9:20:00,2012-06-29 9:22:00,M2.2,2.20E-05,4.40E-03,16,-38,,none,2012-06-29 11:09:00,2012-06-29 12:03:00,28,-26,23,1344,DONKI/Anthony Pritchard,2013-08-08 17:23:00,2012-06-29 9:36:05,904,49,2012-06-29 9:24:00,1157,1302,24,HINODE,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/2775/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/2616/1,
SC24,2013-06-28,2012-06-28 10:13:00,2012-06-29 23:13:00,lowest energy response in GOES; mid energy response in SOHO,2013-06-28 1:36:00,2013-06-28 1:59:00,2013-06-28 2:28:00,C4.4,4.40E-06,9.70E-03,-18,19,,none,2013-06-28 3:54:00,2013-06-28 5:05:00,-35,39,41,1200,DONKI/Zak Titus,2013-07-16 20:13:00,2013-06-28 2:00:05,1037,360,2013-06-28 2:12:00,919,1096,130,HINODE,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/402/1,,
